Time,T_air_in,RH_air_in,GHI_in
05/12/2023 00:00:00,16.5018680555556,85.6856597222222,61.1883825622776
06/12/2023 00:00:00,15.1952847222222,90.7238402777777,51.0656820702403
07/12/2023 00:00:00,14.61425,90.7679861111111,55.7150109689214
08/12/2023 00:00:00,14.1973131944444,77.87775,69.9363284671533
09/12/2023 00:00:00,12.0959576388889,74.9123958333334,66.9548801431127
10/12/2023 00:00:00,9.68708402777778,89.5862430555555,43.0814644194756
11/12/2023 00:00:00,15.4487708333333,81.5904236111112,67.8092688172043
12/12/2023 00:00:00,14.8009375,84.304625,62.3260471869329
13/12/2023 00:00:00,15.4540347222222,83.443576388889,69.6544920353982
14/12/2023 00:00:00,18.9339444444444,81.1489374999999,80.1614290843806
15/12/2023 00:00:00,16.9278541666667,88.6807361111111,66.0140037453183
16/12/2023 00:00:00,15.1686875,73.0402430555555,65.5509388888889
17/12/2023 00:00:00,14.5313784722222,53.8357361111111,71.0252522686026
18/12/2023 00:00:00,12.8568451388889,69.1068472222222,73.5098161764706
19/12/2023 00:00:00,13.8078243055556,73.4987152777778,69.6165277280859
20/12/2023 00:00:00,12.8441854166667,79.9971180555555,70.5620767824498
21/12/2023 00:00:00,16.2057708333333,78.0063125,89.7517775700935
22/12/2023 00:00:00,14.1583402777778,86.6186458333333,42.0379141104294
23/12/2023 00:00:00,16.8478611111111,80.6189027777777,71.3081615245009
24/12/2023 00:00:00,17.0239375,79.7050902777778,71.2676798561151
25/12/2023 00:00:00,16.4938888888889,78.5260347222222,71.3740667870036
26/12/2023 00:00:00,16.7382083333333,74.7399583333333,71.7450327272727
27/12/2023 00:00:00,15.7197708333333,77.1715069444444,69.3535525362319
28/12/2023 00:00:00,13.7194173611111,76.9204305555556,70.9205732368897
29/12/2023 00:00:00,14.8939583333333,80.5739722222222,71.0284691358024
30/12/2023 00:00:00,14.733,82.3481180555555,64.4683254972876
31/12/2023 00:00:00,14.7567083333333,85.2488888888889,66.505475409836
01/01/2024 00:00:00,16.0352430555556,83.2628750000001,69.2507996389892
02/01/2024 00:00:00,16.8916944444444,76.735375,68.8114530685921
03/01/2024 00:00:00,16.0209444444444,76.4090277777778,64.6220418943534
04/01/2024 00:00:00,14.8247777777778,83.4467430555555,22.6729466192171
05/01/2024 00:00:00,16.1530694444444,81.4540902777778,72.938423076923
06/01/2024 00:00:00,15.9104791666667,77.5094861111111,68.1737704918032
07/01/2024 00:00:00,14.5708125,76.2032986111111,55.4656446428571
08/01/2024 00:00:00,13.5368125,84.7842708333333,55.3136505376344
09/01/2024 00:00:00,12.8654951388889,78.3265416666667,71.3992534965035
10/01/2024 00:00:00,12.8584722222222,59.9524930555555,64.1747406749556
11/01/2024 00:00:00,12.1376780449961,77.0571993793639,71.6221967213115
12/01/2024 00:00:00,13.1601180555556,74.4776319444444,77.017721340388
13/01/2024 00:00:00,13.9489326388889,63.6888055555556,66.8259039145908
14/01/2024 00:00:00,10.5590270833333,75.8551875,58.9280138408304
15/01/2024 00:00:00,11.8007430555556,84.0384791666667,31.9553974591652
16/01/2024 00:00:00,17.2669166666667,82.2482291666666,86.1068861209964
17/01/2024 00:00:00,18.0262916666667,81.9405833333333,102.419268206039
18/01/2024 00:00:00,19.3280069444444,77.4554166666667,100.541364620939
19/01/2024 00:00:00,19.0024429727741,78.870787343635,95.7459529616724
20/01/2024 00:00:00,16.0438472222222,83.2431736111112,64.9733554006969
21/01/2024 00:00:00,15.2001875,53.9235972222222,70.6457461406518
22/01/2024 00:00:00,15.9898590277778,50.1757708333333,136.55324610052
23/01/2024 00:00:00,12.4811243055556,63.7368333333334,142.868735191638
24/01/2024 00:00:00,13.8735097222222,49.6797222222222,144.563342465753
25/01/2024 00:00:00,14.6520513888889,69.3910833333333,125.709130584192
26/01/2024 00:00:00,15.9642616,66.32796,156.041298969072
27/01/2024 00:00:00,12.4466944444444,66.3963125,121.860470890411
28/01/2024 00:00:00,13.89935625,54.7204722222222,166.119546689304
29/01/2024 00:00:00,12.3325777777778,54.7242916666667,159.361587436333
30/01/2024 00:00:00,12.5194013888889,49.3874097222222,177.641350340136
31/01/2024 00:00:00,12.6113152777778,51.5178680555555,179.229481418919
01/02/2024 00:00:00,12.2951930555556,59.1230555555555,181.946687394958
02/02/2024 00:00:00,12.9198548611111,68.5393541666667,160.146737976783
03/02/2024 00:00:00,15.8944414634146,63.0675284552846,179.241862068966
04/02/2024 00:00:00,15.9353673611111,69.1103680555556,158.023194127243
05/02/2024 00:00:00,17.12075,67.750625,156.686452648475
06/02/2024 00:00:00,18.5412430555556,66.8404791666667,160.434345901639
07/02/2024 00:00:00,19.2670902777778,61.6647986111111,130.760494363929
08/02/2024 00:00:00,18.0606041666667,70.3946736111111,119.989093397746
09/02/2024 00:00:00,19.2467916666667,62.0998819444444,130.62467576244
10/02/2024 00:00:00,17.3464722222222,62.0539444444444,100.998190553746
11/02/2024 00:00:00,16.3454513888889,60.2466875,40.0518312829526
12/02/2024 00:00:00,16.1372986111111,77.0823472222222,72.8602379421222
13/02/2024 00:00:00,17.3842909722222,73.4274583333333,88.057385620915
14/02/2024 00:00:00,17.2455666666667,66.5170833333334,82.7692649842271
15/02/2024 00:00:00,16.6714993055556,60.0221388888889,79.1273471337579
16/02/2024 00:00:00,16.7158965277778,61.2415555555555,84.5001146496815
17/02/2024 00:00:00,15.9702118055556,65.2191597222222,93.3269904912837
18/02/2024 00:00:00,16.29235,66.2019305555556,108.289444094488
19/02/2024 00:00:00,16.0270465277778,69.1023402777778,98.2440635930047
